Song Title,Artist,Album,Year released,File size,Song Duration,Filename,Genre,File extension,Bitrate (kbps),Sample Rate (Hz),File size (bytes),Song duration (seconds),Play count,Rating,Added to library on (timestamp),Added to library on (epoch),Composer,Comment
Awaken the Dreamers,,,0,6.73 MB,"4 minutes, 38 seconds",iPod_Control/Music/F02/NQMG.mp3,,MP3,192,44100,6728989,278,7,No rating,2012-09-02 12:39:23 UTC,3429434363,,
Black Gold Reign,All Shall Perish,,0,6.72 MB,"4 minutes, 38 seconds",iPod_Control/Music/F00/UOGR.mp3,,MP3,192,44100,6720839,278,3,No rating,2012-09-02 12:39:23 UTC,3429434363,,
 Living Through Catastrophe,,,0,7.22 MB,"4 minutes, 59 seconds",iPod_Control/Music/F00/KZLT.mp3,,MP3,192,44100,7217374,299,2,No rating,2012-09-02 12:39:23 UTC,3429434363,,
There Is No Business To Be Done On A Dead Planet,As Blood Runs Black,,0,3.68 MB,"3 minutes, 2 seconds",iPod_Control/Music/F01/ZOYQ.mp3,,MP3,160,22050,3678828,182,16,No rating,2012-09-02 12:39:23 UTC,3429434363,,
In Dying Days,As Blood Runs Black,,0,5.34 MB,"3 minutes, 41 seconds",iPod_Control/Music/F02/RIMM.mp3,,MP3,192,44100,5341573,221,5,No rating,2012-09-02 10:18:02 UTC,3429425882,,
Abstract Art,Born of Osiris,,0,4.74 MB,"3 minutes, 15 seconds",iPod_Control/Music/F01/BYJU.mp3,,MP3,192,44100,4739085,195,33,No rating,2012-09-02 11:22:10 UTC,3429429730,,
Follow The Signs,Born of Osiris,,0,5.56 MB,"3 minutes, 50 seconds",iPod_Control/Music/F00/REXL.mp3,,MP3,192,44100,5561002,230,10,No rating,2012-09-02 11:09:23 UTC,3429428963,,
Recreate,Born of Osiris,,0,5.97 MB,"4 minutes, 7 seconds",iPod_Control/Music/F02/ZCNH.mp3,,MP3,192,44100,5971647,247,20,No rating,2012-09-02 11:09:19 UTC,3429428959,,
Nailgun Massacre,Carnifex,,0,4.00 MB,"2 minutes, 45 seconds",iPod_Control/Music/F01/WGXH.mp3,,MP3,192,44100,3997417,165,8,No rating,2012-09-02 12:39:23 UTC,3429434363,,
Leica,,,0,6.29 MB,"5 minutes, 12 seconds",iPod_Control/Music/F00/SQGI.mp3,,MP3,160,22050,6285326,312,2,No rating,2012-09-02 12:39:24 UTC,3429434364,,
In Reverence of,,,0,4.71 MB,"3 minutes, 14 seconds",iPod_Control/Music/F02/MWRV.mp3,,MP3,192,44100,4708992,194,2,No rating,2012-09-02 12:39:24 UTC,3429434364,,
Storming The Gates Of Hell,Impending Doom,,0,5.41 MB,"3 minutes, 43 seconds",iPod_Control/Music/F01/TENM.mp3,,MP3,192,44100,5408656,223,11,No rating,2012-09-02 12:39:24 UTC,3429434364,,
Down,Motograter,,0,5.61 MB,"3 minutes, 52 seconds",iPod_Control/Music/F01/OODV.mp3,,MP3,192,44100,5608022,232,25,No rating,2012-09-02 12:39:24 UTC,3429434364,,
Mutiny,Upon A Burning Body,,0,4.35 MB,"2 minutes, 59 seconds",iPod_Control/Music/F01/RDCZ.mp3,,MP3,192,44100,4349756,179,27,No rating,2012-09-02 12:39:24 UTC,3429434364,,
Devil's Advocate,Upon A Burning Body,,0,5.25 MB,"3 minutes, 37 seconds",iPod_Control/Music/F02/CLBE.mp3,,MP3,192,44100,5248786,217,19,No rating,2012-09-02 12:39:24 UTC,3429434364,,
Donnie Brasco,Upon A Burning Body,,0,5.56 MB,"3 minutes, 50 seconds",iPod_Control/Music/F00/NQEC.mp3,,MP3,192,44100,5561002,230,9,No rating,2012-09-02 12:39:24 UTC,3429434364,,
From Dusk Till Dawn (feat. Nate Johnson),Upon A Burning Body,,0,3.71 MB,"2 minutes, 33 seconds",iPod_Control/Music/F01/INXZ.mp3,,MP3,192,44100,3714667,153,12,No rating,2012-09-02 12:39:24 UTC,3429434364,,
Intermission,Upon A Burning Body,,0,4.62 MB,"3 minutes, 11 seconds",iPod_Control/Music/F01/HMBM.mp3,,MP3,192,44100,4621221,191,4,No rating,2012-09-02 12:39:24 UTC,3429434364,,
Once Upon A Time In Mexico,Upon A Burning Body,,0,4.31 MB,"2 minutes, 58 seconds",iPod_Control/Music/F01/YGYQ.mp3,,MP3,192,44100,4314648,178,8,No rating,2012-09-02 12:39:24 UTC,3429434364,,
Planet Terror,Upon A Burning Body,,0,4.96 MB,"3 minutes, 25 seconds",iPod_Control/Music/F02/YQWK.mp3,,MP3,192,44100,4964156,205,2,No rating,2012-09-02 12:39:24 UTC,3429434364,,
The Darkest Day Of Man,Whitechapel,,0,4.37 MB,3 minutes,iPod_Control/Music/F00/FYVY.mp3,,MP3,192,44100,4371072,180,2,No rating,2012-09-02 11:22:41 UTC,3429429761,,
Hate Creation,Whitechapel,,0,5.04 MB,"3 minutes, 28 seconds",iPod_Control/Music/F01/CWJL.mp3,,MP3,192,44100,5036881,208,39,No rating,2012-09-02 11:22:41 UTC,3429429761,,
Reprogrammed To Hate,Whitechapel,,0,5.48 MB,"3 minutes, 46 seconds",iPod_Control/Music/F01/SXDJ.mp3,,MP3,192,44100,5475111,226,16,No rating,2012-09-02 22:23:08 UTC,3429469388,,
This Is Exile,,,0,5.39 MB,"3 minutes, 42 seconds",iPod_Control/Music/F02/VFRH.mp3,,MP3,192,44100,5385459,222,2,No rating,2012-09-02 22:23:04 UTC,3429469384,,
Strife (Chug Chug),As Blood Runs Black,,0,5.47 MB,"3 minutes, 46 seconds",iPod_Control/Music/F00/VXUN.mp3,,MP3,192,44100,5470096,226,10,No rating,2012-09-02 22:31:31 UTC,3429469891,,
5 Minutes Alone (Pantera cover),,,0,6.52 MB,"4 minutes, 30 seconds",iPod_Control/Music/F02/ZDUF.mp3,,MP3,192,44100,6516457,270,8,No rating,2012-09-02 22:43:40 UTC,3429470620,,
Tragic Target Practice,Oblige,,0,4.64 MB,"3 minutes, 11 seconds",iPod_Control/Music/F00/JCYF.mp3,,MP3,192,44100,4641283,191,1,No rating,2012-09-02 22:43:13 UTC,3429470593,,
Behold,Born of Osiris,,0,8.44 MB,"5 minutes, 50 seconds",iPod_Control/Music/F00/SNKW.mp3,,MP3,192,44100,8443666,350,1,No rating,2012-09-14 17:00:14 UTC,3430486814,,
An Ascent,Born of Osiris,,0,4.86 MB,"3 minutes, 21 seconds",iPod_Control/Music/F01/DNVQ.mp3,,MP3,192,44100,4864473,201,3,No rating,2012-09-14 17:30:00 UTC,3430488600,,
Exist,,,0,3.32 MB,"2 minutes, 16 seconds",iPod_Control/Music/F00/BPTA.mp3,,MP3,192,44100,3318442,136,4,No rating,2012-09-14 17:31:58 UTC,3430488718,,
A Descent,,,0,3.37 MB,"2 minutes, 18 seconds",iPod_Control/Music/F00/QPMR.mp3,,MP3,192,44100,3366716,138,3,No rating,2012-09-14 17:33:42 UTC,3430488822,,
Elimination,,,0,3.10 MB,"2 minutes, 7 seconds",iPod_Control/Music/F02/KUYA.mp3,,MP3,192,44100,3095879,127,3,No rating,2012-09-14 17:37:49 UTC,3430489069,,
